ask,fair,edge,mx,gap,rr,sw,pt,sl,hz,calls,acc,worst,nonempty,f1_calls,f1_acc,f2_calls,f2_acc,f3_calls,f3_acc,f4_calls,f4_acc,four_blocks
0.6,0.65,0.08,12,15,0,1,0.08,0.05,2,14,1.0,1.0,4,3,1.0,4,1.0,4,1.0,3,1.0,1
0.6,0.65,0.08,12,15,0,1,0.08,0.08,3,14,1.0,1.0,4,3,1.0,4,1.0,4,1.0,3,1.0,1
0.6,0.65,0.12,12,15,0,1,0.08,0.05,2,13,1.0,1.0,4,3,1.0,4,1.0,4,1.0,2,1.0,1
0.6,0.65,0.12,12,15,0,1,0.08,0.08,3,13,1.0,1.0,4,3,1.0,4,1.0,4,1.0,2,1.0,1
0.6,0.65,0.08,8,15,0,1,0.08,0.05,2,12,1.0,1.0,4,2,1.0,3,1.0,4,1.0,3,1.0,1
0.6,0.65,0.08,10,15,0,1,0.08,0.05,2,12,1.0,1.0,4,2,1.0,3,1.0,4,1.0,3,1.0,1
0.6,0.65,0.08,8,15,0,1,0.08,0.08,3,12,1.0,1.0,4,2,1.0,3,1.0,4,1.0,3,1.0,1
0.6,0.65,0.08,10,15,0,1,0.08,0.08,3,12,1.0,1.0,4,2,1.0,3,1.0,4,1.0,3,1.0,1
0.6,0.65,0.08,12,25,0,1,0.08,0.08,3,12,1.0,1.0,4,2,1.0,4,1.0,3,1.0,3,1.0,1
0.6,0.65,0.16,12,15,0,1,0.08,0.08,3,12,1.0,1.0,4,3,1.0,4,1.0,4,1.0,1,1.0,1
0.6,0.7,0.08,12,15,0,1,0.08,0.08,3,12,1.0,1.0,4,3,1.0,4,1.0,4,1.0,1,1.0,1
0.6,0.7,0.12,12,15,0,1,0.08,0.08,3,12,1.0,1.0,4,3,1.0,4,1.0,4,1.0,1,1.0,1
0.6,0.7,0.16,12,15,0,1,0.08,0.08,3,12,1.0,1.0,4,3,1.0,4,1.0,4,1.0,1,1.0,1
0.6,0.65,0.08,12,25,0,1,0.1,0.08,3,12,1.0,1.0,4,2,1.0,4,1.0,3,1.0,3,1.0,1
0.55,0.65,0.08,12,15,0,1,0.08,0.05,2,11,1.0,1.0,4,2,1.0,3,1.0,4,1.0,2,1.0,1
